"team","donchess"
"Cincinnati",2.6971
"Georgia",2.5376
"Oklahoma",2.1548
"Alabama",2.0784
"Notre Dame",1.9375
"Ohio State",1.7023
"Michigan",1.6441
"Oklahoma State",1.499
"Wisconsin",1.3561
"Iowa State",1.2797
"Michigan State",1.2764
"Texas A&M",1.237
"Iowa",1.1743
"Ole Miss",1.137
"Baylor",1.1283
"Oregon",1.1093
"Auburn",1.1082
"UT San Antonio",1.1037
"Penn State",1.0757
"Arkansas",0.9808
"Wake Forest",0.9706
"Purdue",0.9295
"Kansas State",0.8898
"Texas",0.8774
"BYU",0.8712
"Clemson",0.8368
"Utah",0.7995
"Pittsburgh",0.7871
"Louisiana",0.7369
"NC State",0.7073
"Boise State",0.6413
"Miami",0.5999
"Mississippi State",0.5953
"Coastal Carolina",0.5747
"Appalachian State",0.5684
"Virginia",0.5643
"Nevada",0.5438
"Kentucky",0.5429
"Florida",0.5302
"Arizona State",0.5243
"North Carolina",0.5217
"San Diego State",0.5125
"West Virginia",0.5124
"Tennessee",0.4451
"Fresno State",0.4444
"Houston",0.4324
"Minnesota",0.4202
"TCU",0.3973
"LSU",0.3756
"Maryland",0.3248
"UCLA",0.3238
"Army",0.3037
"Texas Tech",0.2933
"Air Force",0.2856
"SMU",0.278
"UCF",0.2772
"Nebraska",0.1993
"Louisville",0.1669
"Utah State",0.152
"USC",0.1407
"Liberty",0.1142
"South Carolina",0.0954
"Rutgers",0.0931
"Illinois",0.0785
"Oregon State",0.067
"Indiana",0.0075
"Washington State",-0.0012
"Western Kentucky",-0.0268
"Virginia Tech",-0.0527
"Syracuse",-0.0944
"Washington",-0.1015
"Marshall",-0.1178
"Western Michigan",-0.1443
"Georgia Tech",-0.1477
"Memphis",-0.1647
"Stanford",-0.1758
"Boston College",-0.1765
"Florida State",-0.1949
"Wyoming",-0.2256
"Missouri",-0.2469
"Northern Illinois",-0.2533
"East Carolina",-0.2912
"Kent State",-0.3065
"Eastern Michigan",-0.3089
"Toledo",-0.3249
"UAB",-0.3272
"Ball State",-0.3361
"California",-0.3392
"Georgia State",-0.3999
"Northwestern",-0.4208
"Colorado State",-0.4323
"Florida Atlantic",-0.4698
"Tulsa",-0.5031
"San Jose State",-0.513
"Central Michigan",-0.5144
"Miami (OH)",-0.5415
"Troy",-0.6355
"Colorado",-0.668
"Hawai'i",-0.702
"Duke",-0.7218
"Navy",-0.7612
"UTEP",-0.7968
"Middle Tennessee",-0.8235
"South Alabama",-0.9363
"Buffalo",-0.9403
"Charlotte",-0.9494
"South Florida",-1.039
"Louisiana Tech",-1.1205
"Louisiana Monroe",-1.1438
"Kansas",-1.1535
"UNLV",-1.1839
"Texas State",-1.1944
"Temple",-1.1965
"Vanderbilt",-1.2012
"New Mexico",-1.2089
"Rice",-1.25
"Bowling Green",-1.2752
"Arizona",-1.2895
"Ohio",-1.3373
"North Texas",-1.3461
"Old Dominion",-1.3694
"Georgia Southern",-1.4418
"Tulane",-1.4857
"Arkansas State",-1.6339
"Akron",-1.8897
"Florida International",-2.0584
"Southern Mississippi",-2.0886
"UMass",-2.1658
"Connecticut",-2.1854
"New Mexico State",-2.2244
