"team","howell"
"Georgia",2.0401
"Alabama",2.0312
"Oklahoma",1.5803
"Texas A&M",1.5521
"Iowa",1.4859
"Cincinnati",1.4764
"Notre Dame",1.4717
"Clemson",1.4431
"Florida",1.4287
"Ohio State",1.3952
"Penn State",1.3228
"BYU",1.1757
"Oklahoma State",1.1161
"Oregon",1.0911
"Ole Miss",1.0861
"Memphis",1.0559
"Texas",0.9902
"Appalachian State",0.9545
"Auburn",0.9443
"Army",0.9392
"SMU",0.9341
"Coastal Carolina",0.9238
"Liberty",0.9136
"Kansas State",0.9136
"Michigan",0.8672
"LSU",0.8413
"Kentucky",0.7997
"UCF",0.784
"Iowa State",0.7683
"Boston College",0.7683
"North Carolina",0.7525
"Michigan State",0.7472
"Baylor",0.7262
"San Diego State",0.705
"Arkansas",0.6944
"Louisiana",0.6891
"Wake Forest",0.6891
"Virginia Tech",0.6785
"Mississippi State",0.6625
"West Virginia",0.6037
"TCU",0.6037
"UAB",0.566
"Texas Tech",0.5497
"Wisconsin",0.5443
"Marshall",0.5008
"Pittsburgh",0.4625
"Boise State",0.457
"Florida Atlantic",0.4515
"USC",0.446
"NC State",0.4405
"Virginia",0.4239
"Missouri",0.4239
"UT San Antonio",0.4184
"Minnesota",0.3852
"Miami",0.3573
"South Carolina",0.3406
"Fresno State",0.3406
"Louisville",0.3406
"Troy",0.335
"Nevada",0.3069
"Maryland",0.2956
"Wyoming",0.2787
"Stanford",0.2561
"Air Force",0.2163
"Tennessee",0.2106
"Indiana",0.1705
"Tulane",0.1647
"Utah State",0.159
"San Jose State",0.1417
"Rutgers",0.1301
"Houston",0.1243
"Nebraska",0.1127
"Western Michigan",0.0953
"UCLA",0.0192
"Purdue",0.0192
"South Alabama",-0.0281
"Utah",-0.0399
"Northwestern",-0.0697
"Buffalo",-0.0757
"Arizona State",-0.0937
"Duke",-0.1601
"Louisiana Tech",-0.1601
"Western Kentucky",-0.2027
"Syracuse",-0.2765
"Georgia Southern",-0.3575
"Toledo",-0.3953
"Washington",-0.4079
"Georgia State",-0.4524
"East Carolina",-0.4588
"Ball State",-0.4652
"Charlotte",-0.5037
"Tulsa",-0.5102
"Miami (OH)",-0.5102
"Arkansas State",-0.5166
"Oregon State",-0.549
"Eastern Michigan",-0.5685
"Georgia Tech",-0.575
"Colorado",-0.5947
"Central Michigan",-0.6871
"Middle Tennessee",-0.6938
"Kent State",-0.7272
"California",-0.822
"Southern Mississippi",-0.8357
"New Mexico",-0.8357
"Florida State",-0.8563
"North Texas",-0.8977
"Hawai'i",-0.9324
"Illinois",-0.9674
"Temple",-0.9674
"Washington State",-0.9815
"Navy",-0.9886
"South Florida",-0.9956
"UTEP",-1.0169
"Northern Illinois",-1.0883
"Texas State",-1.2048
"Florida International",-1.3015
"Old Dominion",-1.3392
"Louisiana Monroe",-1.3392
"Vanderbilt",-1.4156
"Colorado State",-1.4388
"Kansas",-1.4698
"Rice",-1.7262
"Ohio",-1.8179
"New Mexico State",-1.8859
"Bowling Green",-1.9724
"Arizona",-2.0252
"Akron",-2.0608
"UNLV",-2.5255
"UMass",-2.5661
"Connecticut",-2.6072
