"team","tpr"
"Georgia",2.844
"Ohio State",2.0944
"Alabama",1.9797
"Cincinnati",1.8149
"Michigan",1.6481
"Oklahoma State",1.5154
"Utah",1.413
"Notre Dame",1.3675
"Baylor",1.2538
"Clemson",1.2406
"Penn State",1.1979
"Texas A&M",1.1865
"Oregon",1.178
"NC State",1.1562
"Ole Miss",1.1126
"Boise State",1.0558
"Pittsburgh",1.0396
"Iowa State",0.9989
"Wisconsin",0.9885
"Arkansas",0.9837
"Oklahoma",0.9828
"Mississippi State",0.9487
"BYU",0.9089
"Wake Forest",0.907
"Kentucky",0.8842
"Michigan State",0.8653
"Auburn",0.7932
"Oregon State",0.7572
"Houston",0.7421
"Nebraska",0.7402
"Air Force",0.7193
"Kansas State",0.7108
"Iowa",0.7061
"Nevada",0.6843
"Purdue",0.6786
"San Diego State",0.6776
"Florida",0.6672
"Arizona State",0.634
"LSU",0.6302
"Minnesota",0.6018
"UCLA",0.5999
"UT San Antonio",0.581
"Fresno State",0.5753
"Tennessee",0.5677
"Louisville",0.5639
"Washington State",0.5336
"Appalachian State",0.5326
"SMU",0.4777
"Louisiana",0.4151
"Texas",0.3867
"California",0.3848
"Army",0.3336
"North Carolina",0.3308
"Miami",0.2701
"Coastal Carolina",0.2379
"Utah State",0.2227
"Tulsa",0.1972
"Western Kentucky",0.1858
"South Carolina",0.181
"West Virginia",0.1791
"Toledo",0.1754
"Florida State",0.1659
"Marshall",0.1555
"Washington",0.1204
"Virginia",0.0882
"Liberty",0.0872
"East Carolina",0.0834
"UCF",0.0588
"Wyoming",0.0474
"Texas Tech",0.0408
"Syracuse",0.0228
"Memphis",0.001
"Boston College",-9e-04
"Virginia Tech",-0.0189
"Illinois",-0.0256
"USC",-0.0625
"UAB",-0.0881
"Rutgers",-0.145
"TCU",-0.1743
"Colorado State",-0.1838
"Missouri",-0.2246
"Miami (OH)",-0.2284
"Stanford",-0.2663
"Georgia Tech",-0.2691
"Western Michigan",-0.2776
"Navy",-0.3298
"Central Michigan",-0.3639
"Colorado",-0.4511
"Louisiana Tech",-0.4691
"Hawai'i",-0.4928
"Northern Illinois",-0.5041
"Eastern Michigan",-0.5146
"Ball State",-0.5354
"Georgia State",-0.5894
"Tulane",-0.5923
"Indiana",-0.6103
"Arizona",-0.6273
"San Jose State",-0.633
"UNLV",-0.6539
"Maryland",-0.7505
"South Florida",-0.7818
"Northwestern",-0.814
"Middle Tennessee",-0.8434
"Troy",-0.9486
"South Alabama",-0.9675
"Old Dominion",-1.0254
"UTEP",-1.049
"Florida Atlantic",-1.1192
"Kent State",-1.1258
"Vanderbilt",-1.1732
"Kansas",-1.2121
"North Texas",-1.2386
"Buffalo",-1.25
"Bowling Green",-1.25
"Texas State",-1.2547
"Arkansas State",-1.2623
"Louisiana Monroe",-1.2708
"Ohio",-1.3182
"Georgia Southern",-1.3608
"New Mexico",-1.4452
"Charlotte",-1.4784
"Rice",-1.6053
"Southern Mississippi",-1.6319
"Duke",-1.6802
"New Mexico State",-1.8214
"Akron",-1.9939
"Connecticut",-2.0147
"Temple",-2.118
"Florida International",-2.4412
"UMass",-2.5341
