Team,Rating,Offense,Defense,Special Teams
1. Alabama (2-0),29.8,43.0 (3),13.3 (4),0.1 (37)
2. Georgia (2-0),28.0,38.6 (9),10.5 (1),-0.1 (97)
3. Oklahoma (2-0),26.8,45.4 (1),18.8 (15),0.2 (7)
4. Clemson (1-1),23.8,38.0 (11),14.2 (6),0.0 (61)
5. Ohio St. (1-1),22.1,44.9 (2),22.9 (41),0.1 (31)
6. Michigan (2-0),22.1,37.3 (13),15.5 (9),0.2 (5)
7. Penn St. (2-0),22.1,36.1 (16),14.1 (5),0.0 (59)
8. Wisconsin (1-1),20.2,33.1 (40),12.8 (3),0.0 (65)
9. Florida (2-0),20.0,40.5 (7),20.5 (23),-0.1 (108)
10. Cincinnati (2-0),19.9,35.5 (24),15.3 (8),-0.2 (125)
11. Auburn (2-0),19.9,35.8 (20),16.0 (10),0.1 (26)
12. N. Carolina (1-1),19.4,42.5 (4),23.2 (42),0.0 (71)
13. Texas A&M (2-0),19.2,34.1 (34),15.0 (7),0.1 (41)
14. Ole Miss (2-0),18.4,41.9 (5),23.5 (46),0.0 (67)
15. Iowa (2-0),18.0,29.2 (63),11.4 (2),0.2 (11)
16. UCLA (2-0),17.0,41.2 (6),24.4 (53),0.2 (8)
17. Oregon (2-0),16.8,37.5 (12),20.8 (26),0.1 (28)
18. Iowa St. (1-1),15.6,35.9 (18),20.1 (22),-0.2 (119)
19. Utah (1-1),14.8,33.4 (39),18.6 (14),-0.1 (96)
20. Arizona St. (2-0),14.5,33.8 (35),19.5 (16),0.2 (10)
21. Va. Tech (2-0),13.5,36.1 (17),22.7 (38),0.1 (45)
22. Miami (1-1),13.3,34.4 (31),21.2 (32),0.0 (49)
23. Notre Dame (2-0),13.1,34.2 (33),21.2 (33),0.1 (25)
24. USC (1-1),12.9,37.0 (14),24.1 (51),0.0 (60)
25. Maryland (2-0),12.7,33.5 (38),20.8 (25),0.0 (50)
26. Washington (0-2),11.9,33.6 (36),21.5 (36),-0.2 (121)
27. UCF (1-0),11.7,39.3 (8),27.6 (77),0.0 (82)
28. Coastal Caro. (2-0),11.7,38.4 (10),26.7 (67),-0.1 (107)
29. TCU (2-0),11.5,31.7 (47),20.1 (21),-0.1 (112)
30. Texas (1-1),11.0,35.9 (19),24.8 (55),-0.1 (92)
31. Nebraska (2-1),10.8,32.0 (43),21.0 (29),-0.3 (128)
32. Virginia (2-0),10.6,34.5 (30),23.8 (47),-0.1 (106)
33. Michigan St. (2-0),10.5,28.4 (71),17.8 (12),-0.1 (105)
34. Arkansas (2-0),10.5,31.4 (49),21.0 (28),0.0 (53)
35. BYU (2-0),10.1,35.1 (28),25.0 (58),0.0 (58)
36. Pittsburgh (2-0),10.1,29.8 (60),19.7 (17),0.0 (55)
37. LSU (1-1),9.6,33.5 (37),24.1 (50),0.1 (20)
38. Oklahoma St. (2-0),9.4,29.0 (67),19.7 (18),0.1 (13)
39. SMU (2-0),9.3,34.7 (29),25.3 (59),-0.2 (117)
40. App. St. (1-1),9.0,30.5 (56),21.5 (35),0.0 (52)
41. Boise St. (1-1),8.6,32.9 (41),24.5 (54),0.1 (16)
42. Purdue (2-0),8.3,35.7 (22),27.4 (73),0.0 (66)
43. W. Virginia (1-1),8.2,29.5 (61),21.3 (34),0.0 (75)
44. Indiana (1-1),7.6,30.0 (57),22.4 (37),0.0 (63)
45. Tennessee (1-1),7.6,28.5 (70),21.1 (31),0.2 (3)
46. NC St. (1-1),7.3,28.4 (72),21.0 (30),-0.1 (104)
47. Minnesota (1-1),7.1,35.7 (23),28.8 (83),0.2 (12)
48. Kentucky (2-0),7.0,29.8 (59),22.8 (39),0.0 (79)
49. Kansas St. (2-0),6.8,31.9 (45),25.0 (57),-0.1 (89)
50. Liberty (2-0),6.8,34.4 (32),27.5 (76),-0.1 (91)
51. Baylor (2-0),6.7,24.8 (94),18.2 (13),0.1 (43)
52. Miss. St. (2-0),6.7,27.6 (76),20.9 (27),-0.1 (101)
53. Tulane (0-1),6.4,35.1 (27),28.7 (82),-0.1 (90)
54. Marshall (2-0),6.3,26.2 (82),19.8 (20),0.0 (83)
55. Memphis (2-0),6.2,30.0 (58),23.9 (48),0.1 (29)
56. Texas Tech (2-0),4.9,31.0 (52),26.3 (65),0.1 (14)
57. Boston Coll. (2-0),4.6,35.4 (26),30.9 (91),0.1 (17)
58. Louisville (1-1),4.6,35.8 (21),31.2 (94),0.0 (78)
59. Troy (1-1),4.5,28.6 (69),24.0 (49),-0.1 (113)
60. Wash. St. (1-1),4.3,36.8 (15),32.6 (104),0.1 (33)
61. Louisiana (1-1),4.0,30.6 (54),26.6 (66),0.1 (21)
62. Florida St. (0-2),3.5,31.7 (46),28.3 (80),0.1 (27)
63. California (0-2),3.4,31.0 (53),27.5 (74),-0.1 (110)
64. Ga. Tech (1-1),3.1,27.5 (77),24.3 (52),0.0 (88)
65. Colorado (1-1),2.8,26.2 (83),23.3 (43),-0.1 (103)
66. Fresno St. (1-1),2.5,32.8 (42),30.1 (88),-0.2 (120)
67. Toledo (1-1),2.4,28.4 (73),26.1 (61),0.1 (42)
68. FAU (1-1),2.3,25.7 (87),23.4 (45),0.0 (70)
69. Missouri (1-1),2.3,28.8 (68),26.7 (68),0.2 (4)
70. Nevada (1-0),2.3,29.2 (64),26.8 (69),0.0 (87)
71. UTSA (2-0),2.1,29.4 (62),27.5 (75),0.2 (6)
72. Rutgers (2-0),2.0,25.4 (90),23.3 (44),0.0 (80)
73. Houston (1-1),1.8,29.0 (66),27.1 (72),0.0 (85)
74. Stanford (1-1),1.8,31.2 (51),29.3 (86),-0.2 (122)
75. Wake Forest (2-0),1.4,28.3 (74),27.0 (71),0.1 (40)
76. Oregon St. (1-1),1.4,35.4 (25),34.1 (107),0.0 (48)
77. WMU (1-1),1.2,31.9 (44),30.4 (90),-0.3 (127)
78. San Diego St. (2-0),1.2,18.9 (117),17.7 (11),0.0 (57)
79. UAB (1-1),0.9,21.5 (105),20.5 (24),-0.1 (116)
80. Tulsa (0-2),0.2,23.1 (98),22.8 (40),-0.1 (93)
81. S. Carolina (2-0),-0.3,25.8 (85),26.2 (63),0.1 (35)
82. Army (2-0),-0.8,25.3 (92),26.2 (62),0.1 (18)
83. San Jose St. (1-1),-1.2,27.0 (79),28.2 (79),0.0 (56)
84. Illinois (1-2),-2.4,27.3 (78),30.0 (87),0.3 (2)
85. Buffalo (1-1),-2.4,25.4 (91),27.7 (78),-0.1 (98)
86. Northwestern (1-1),-2.9,17.0 (122),19.8 (19),-0.1 (102)
87. Wyoming (2-0),-3.7,21.2 (106),24.9 (56),0.1 (44)
88. WKU (1-1),-4.0,22.3 (102),26.3 (64),0.0 (69)
89. Syracuse (1-1),-4.0,22.0 (103),25.9 (60),-0.1 (100)
90. Arkansas St. (1-1),-4.2,31.3 (50),35.6 (115),0.1 (32)
91. Air Force (2-0),-4.7,22.3 (101),27.0 (70),-0.1 (109)
92. Duke (1-1),-5.4,22.9 (99),28.5 (81),0.1 (15)
93. Kent St. (1-1),-5.4,31.6 (48),36.9 (117),-0.2 (123)
94. ECU (0-2),-6.6,25.7 (89),32.3 (101),0.0 (72)
95. CMU (0-1),-6.7,24.6 (95),31.3 (96),0.0 (51)
96. FIU (1-0),-8.0,20.8 (108),28.9 (85),0.1 (23)
97. Ohio (0-2),-8.2,26.5 (80),34.5 (110),-0.2 (118)
98. MTSU (1-1),-8.3,23.3 (97),31.6 (98),0.0 (81)
99. Colorado St. (0-2),-8.9,20.0 (112),28.8 (84),-0.1 (111)
100. Ball St. (1-1),-9.1,25.7 (88),34.9 (112),0.1 (36)
101. Georgia St. (0-2),-9.2,28.0 (75),37.2 (118),0.0 (47)
102. N. Texas (1-1),-9.4,26.2 (81),35.5 (113),-0.1 (99)
103. EMU (1-1),-9.6,30.5 (55),40.1 (124),0.0 (54)
104. Miami-OH (0-2),-9.6,22.8 (100),32.4 (103),0.0 (64)
105. Arizona (0-2),-9.7,25.9 (84),35.5 (114),-0.1 (95)
106. Utah St. (2-0),-9.9,24.2 (96),34.2 (109),0.1 (24)
107. Hawaii (1-2),-10.0,25.8 (86),36.2 (116),0.4 (1)
108. NIU (1-1),-10.4,21.0 (107),31.4 (97),0.1 (30)
109. S. Alabama (2-0),-12.1,19.0 (116),31.1 (93),0.1 (39)
110. Charlotte (1-0),-12.1,29.1 (65),41.1 (125),0.0 (84)
111. Ga. Southern (1-1),-12.3,19.3 (114),31.8 (99),0.1 (22)
112. La. Tech (0-1),-12.4,21.8 (104),34.2 (108),-0.1 (94)
113. Temple (1-1),-12.9,19.3 (115),32.1 (100),-0.1 (114)
114. Texas St. (0-1),-13.0,25.2 (93),38.1 (122),0.0 (86)
115. So. Miss (0-1),-13.8,17.2 (121),31.0 (92),0.0 (73)
116. USF (0-2),-14.9,17.4 (119),32.3 (102),0.0 (46)
117. Vanderbilt (1-1),-15.0,18.0 (118),33.1 (105),0.1 (19)
118. Kansas (1-1),-15.1,19.4 (113),34.7 (111),0.1 (34)
119. Navy (0-2),-16.9,14.6 (124),31.2 (95),-0.2 (124)
120. UNLV (0-2),-17.4,20.4 (109),37.8 (120),0.0 (74)
121. New Mexico (1-0),-17.7,20.4 (110),38.1 (121),0.0 (68)
122. Rice (0-2),-18.5,12.1 (127),30.3 (89),-0.2 (126)
123. UTEP (2-1),-21.7,20.1 (111),42.0 (126),0.2 (9)
124. BGSU (0-2),-22.4,11.2 (128),33.7 (106),0.1 (38)
125. Akron (0-2),-25.8,14.2 (125),40.0 (123),0.0 (62)
126. ULM (0-1),-25.9,16.5 (123),42.4 (127),0.0 (77)
127. ODU (0-1),-28.8,8.9 (130),37.6 (119),0.0 (76)
128. UMass (0-2),-28.8,17.2 (120),45.8 (130),-0.3 (129)
129. UConn (0-3),-30.9,13.3 (126),43.8 (128),-0.4 (130)
130. NMSU (0-2),-34.7,10.1 (129),44.7 (129),-0.1 (115)
