"team","vs"
"Georgia",2.192
"Ohio State",1.9925
"Oklahoma State",1.9726
"Notre Dame",1.8995
"Michigan",1.833
"Alabama",1.7798
"Cincinnati",1.7399
"Oklahoma",1.6801
"Baylor",1.6003
"Wisconsin",1.5405
"Michigan State",1.474
"Iowa",1.4607
"Ole Miss",1.361
"Purdue",1.1615
"UT San Antonio",1.1482
"BYU",1.1283
"Penn State",1.1017
"Wake Forest",1.1017
"Clemson",1.0817
"Texas A&M",1.0684
"Oregon",1.0418
"San Diego State",1.0285
"Pittsburgh",1.0019
"Kansas State",0.9953
"Houston",0.9754
"Utah",0.9488
"Louisiana",0.8823
"NC State",0.869
"Appalachian State",0.8424
"Arkansas",0.8158
"Iowa State",0.7826
"Boise State",0.7294
"Kentucky",0.6961
"Mississippi State",0.6895
"Minnesota",0.6031
"Miami",0.5898
"Fresno State",0.5565
"Air Force",0.5233
"Texas Tech",0.5166
"Auburn",0.5033
"Virginia",0.49
"Tennessee",0.4834
"Louisville",0.4767
"SMU",0.4235
"Utah State",0.4103
"West Virginia",0.4103
"Northern Illinois",0.3837
"Army",0.377
"UCLA",0.3305
"North Carolina",0.3238
"Maryland",0.3238
"TCU",0.3039
"South Carolina",0.2573
"Missouri",0.2374
"Oregon State",0.2374
"Arizona State",0.2175
"Nevada",0.2042
"Florida State",0.2042
"Coastal Carolina",0.1709
"Rutgers",0.1709
"Washington State",0.1576
"LSU",0.151
"UCF",0.151
"Illinois",0.131
"East Carolina",0.1111
"Texas",0.0778
"Western Kentucky",0.0246
"Central Michigan",-0.0618
"UAB",-0.0684
"Georgia State",-0.0884
"Florida",-0.1416
"Wyoming",-0.1416
"Boston College",-0.1549
"Liberty",-0.1748
"Syracuse",-0.1748
"Virginia Tech",-0.1881
"Tulsa",-0.2014
"Kent State",-0.2213
"Eastern Michigan",-0.2612
"Nebraska",-0.2679
"Western Michigan",-0.2812
"Memphis",-0.3277
"Marshall",-0.3344
"USC",-0.3742
"Miami (OH)",-0.4274
"Toledo",-0.4341
"California",-0.4407
"Indiana",-0.4607
"Ball State",-0.474
"Northwestern",-0.474
"Georgia Tech",-0.5006
"Colorado",-0.5737
"UTEP",-0.6003
"Kansas",-0.6136
"Washington",-0.6335
"Navy",-0.6335
"Hawai'i",-0.72
"San Jose State",-0.7266
"Stanford",-0.7731
"Troy",-0.7931
"Louisiana Monroe",-0.8795
"Old Dominion",-0.9394
"Florida Atlantic",-0.9659
"Colorado State",-0.9726
"UNLV",-0.9792
"North Texas",-0.9859
"Middle Tennessee",-1.0125
"Duke",-1.0258
"Tulane",-1.059
"South Alabama",-1.0657
"South Florida",-1.1056
"Charlotte",-1.1853
"Vanderbilt",-1.1853
"Louisiana Tech",-1.2319
"Ohio",-1.2984
"New Mexico",-1.3117
"Rice",-1.3449
"Texas State",-1.3449
"Georgia Southern",-1.3515
"Bowling Green",-1.3515
"Temple",-1.3582
"Buffalo",-1.3648
"Arizona",-1.4513
"Arkansas State",-1.5377
"New Mexico State",-1.8635
"Akron",-1.8701
"Southern Mississippi",-1.8768
"UMass",-1.9632
"Connecticut",-2.023
"Florida International",-2.5017
